Company,Employees,Share Price,Pct_change,Trend,Country
Walmart,2100000,69.61,0.53,up,USA
Amazon,1525000,192.72,0.91,down,USA
Foxconn (Hon Hai Precision Industry),826608,6.54,1.62,down,Taiwan
Accenture,750000,317.87,2.33,up,Ireland
Volkswagen,650951,116.32,1.39,down,Germany
Tata Consultancy Services,601546,50.02,0.22,up,India
DHL Group (Deutsche Post),594879,44.17,0.86,down,Germany
BYD,570100,35.64,1.04,down,China
Compass Group,550000,28.23,0.18,up,UK
Jingdong Mall,517124,26.65,5.33,down,China
FedEx,500000,305.02,2.01,up,USA
United Parcel Service,500000,144.15,1.26,up,USA
Gazprom,468000,1.36,0.83,up,Russia
Home Depot,465000,358.46,0.36,down,USA
Agricultural Bank of China,452258,0.65,0.21,down,China
China Mobile,450698,9.84,0.26,down,China
Jardine Matheson,443000,36.25,0.83,up,Hong Kong
Concentrix,440000,71.1,1.59,up,USA
UnitedHealth,440000,515.37,0.75,up,USA
ICBC,427587,0.56,1.8,down,China
Target,415000,151.3,1.01,down,USA
Kroger,414000,52.12,0.7,down,USA
Marriott International,411000,246.67,1.6,up,USA
Ahold Delhaize,400000,31.34,0.63,up,Netherlands
Yum China,400000,31.46,2.05,down,China
PetroChina,398440,1.45,0.38,up,China
Berkshire Hathaway,396500,434.42,2.35,up,USA
China State Construction Engineering,382492,0.74,0.56,down,China
Fomento Económico Mexicano,381747,115.61,1.61,down,Mexico
Starbucks,381000,72.75,2.78,down,USA
Toyota,380793,206.91,0.33,down,Japan
China Construction Bank,376682,1.04,0.4,down,China
Sinopec,374791,0.89,2.2,up,China
Teleperformance,360980,121.61,0.98,down,France
Securitas AB,358000,10.05,0.33,up,Sweden
Magnit,357000,66.49,0.2,down,Russia
TriNet,355519,108.1,6.85,up,USA
TJX Companies,349000,113.81,0.43,down,USA
Cognizant Technology Solutions,344400,72.43,1.26,up,USA
Ping An Insurance,344223,5.67,3.15,down,China
Capgemini,340400,209.15,0.03,down,France
NTT (Nippon Telegraph & Telephone),338467,0.99,0.95,down,Japan
Tesco,330000,4.16,0.0,up,UK
X5 Retail Group,325000,31.74,0.45,up,Netherlands
Siemens,320000,197.78,0.3,up,Germany
Pepsico,318000,163.86,1.51,down,USA
Infosys,317240,20.31,0.44,down,India
Costco,316000,848.73,0.69,up,USA
Sodexo,315147,85.41,0.63,down,France
JPMorgan Chase,311921,210.05,2.49,up,USA
Bank of China,306182,0.67,0.62,up,China
Carrefour,305309,15.33,0.57,down,France
Insperity,303904,96.08,4.03,up,USA
CK Hutchison Holdings,300000,5.12,0.5,down,Hong Kong
Lowe's Companies,300000,232.17,0.82,down,USA
China Railway Group,297620,0.52,1.46,down,China
Sumitomo Denki Kōgyō,293266,15.65,1.25,up,Japan
Sberbank,287866,3.27,1.45,up,Russia
IBM,282200,182.88,0.03,up,USA
China Telecom,280683,0.64,1.02,up,China
Vinci,279426,114.63,0.24,down,France
JBS,270000,5.88,0.25,down,Brazil
Nestlé,270000,103.5,0.47,down,Switzerland
China Railway Construction,269577,1.15,0.84,up,China
Hitachi,268655,23.9,2.3,up,Japan
ISS A/S,265883,17.53,0.41,down,Denmark
Aramark,262550,33.1,2.04,down,USA
Mahindra & Mahindra,260000,33.0,0.94,up,India
Stellantis,258275,20.23,0.39,down,Netherlands
Coal India,248550,6.13,2.95,up,India
China Unicom,244658,0.94,0.0,up,Hong Kong
Brookfield Corporation,240000,46.09,0.17,up,Canada
Jardine Cycle & Carriage,240000,19.04,0.27,down,Singapore
Citigroup,237000,65.14,0.96,up,USA
Luxshare Precision,236932,5.94,5.32,up,China
Reliance Industries,236334,37.74,1.31,down,India
Jabil,236000,115.3,0.32,up,USA
Walmex,234643,3.85,0.0,up,Mexico
Wipro,234000,6.68,0.6,down,India
State Bank of India,232296,10.54,0.07,down,India
Panasonic,228420,8.25,2.54,down,Japan
Japan Post Holdings,227369,10.63,1.48,up,Japan
Wells Fargo,224824,57.73,2.1,up,USA
Microsoft,221000,453.96,0.09,up,USA
George Weston,220000,152.39,0.03,down,Canada
Loblaw Companies,220000,121.43,0.14,down,Canada
HCA Healthcare,220000,316.98,2.26,down,USA
HCL Technologies,219325,18.79,0.0,up,India
CVS Health,219000,58.67,0.56,down,USA
SAIC Motor,215999,2.0,2.04,up,China
HSBC,214400,43.25,1.21,down,UK
DFI Retail Group,213000,1.83,1.61,down,Hong Kong
Dior,213000,712.96,1.51,down,France
Bank of America,212000,41.89,0.72,up,USA
Santander,211141,4.79,1.44,down,Spain
Yamato Holdings,210197,11.5,1.67,down,Japan
Veolia,206500,30.93,0.63,down,France
Walgreens Boots Alliance,206000,11.7,1.74,up,USA
Alibaba,204891,78.01,2.06,down,China
Continental,203593,63.45,0.38,down,Germany
Bouygues,201500,35.05,0.0,up,France
Deutsche Telekom,201251,25.93,0.04,down,Germany
Woolworths Group,200364,23.31,0.55,up,Australia
Foxconn Industrial Internet,199073,3.78,1.85,up,China
Honda,194993,32.49,0.31,down,Japan
NTT Data,193513,14.8,0.24,up,Japan
LVMH,192287,761.69,0.98,down,France
Fresenius,190863,32.06,2.05,up,Germany
Darden Restaurants,187384,143.27,0.7,up,USA
Lear Corporation,186600,118.71,0.06,down,USA
Comcast,186000,38.94,1.7,up,USA
Dollar General,185800,126.96,4.12,down,USA
Raytheon Technologies,185000,101.62,0.34,up,USA
BNP Paribas,183000,67.89,0.73,down,France
Alphabet (Google),180895,188.19,0.75,up,USA
Canon,180775,28.28,1.75,up,Japan
Postal Savings Bank of China,180038,0.69,0.4,down,China
Hilton Worldwide,178000,222.99,1.03,up,USA
The People's Insurance Company (PICC),177852,0.73,0.56,down,China
Ford,177000,14.23,1.43,up,USA
America Movil,175473,18.15,1.09,down,Mexico
Walt Disney,173250,96.87,0.27,down,USA
HDFC Bank,173222,60.28,0.26,down,India
Boeing,171000,179.11,1.76,down,USA
Schneider Electric,168044,251.34,0.58,down,France
Magna International,168000,44.45,0.0,up,Canada
Mercedes-Benz,167397,69.14,1.61,down,Germany
Midea,166243,8.85,1.03,down,China
Aeon,163584,20.81,2.46,down,Japan
General Motors,163000,49.3,0.59,up,USA
S.F. Express,162823,4.78,0.06,up,China
International Distributions Services (Royal Mail),162511,4.33,0.36,up,UK
Denso,162029,16.17,0.79,down,Japan
CITIC limited,161408,0.93,1.09,down,China
Compagnie de Saint-Gobain,159145,85.86,0.23,up,France
Oracle,159000,143.07,1.17,down,USA
Allianz,157883,286.17,1.02,down,Germany
ICICI Bank,157799,29.17,0.03,down,India
CRRC,157237,0.62,1.42,down,China
Anheuser-Busch Inbev,155000,60.17,2.16,down,Belgium
Aptiv,154000,72.26,0.63,down,Ireland
Forvia SE,153462,11.75,3.54,down,France
Sainsbury's,152000,3.44,1.61,up,UK
EssilorLuxottica,151292,215.9,0.78,down,France
Apple,150000,234.4,1.67,up,USA
Mitsubishi Electric,149655,18.0,2.7,up,Japan
BMW,149475,96.74,1.2,down,Germany
Alimentation Couche-Tard,149000,59.63,0.09,up,Canada
Grupo Bimbo,148868,3.66,0.09,down,Mexico
AT&T,148290,18.58,1.22,down,USA
Flex,148115,30.28,0.36,down,Singapore
Mitsubishi UFJ Financial,145412,11.08,0.09,up,Japan
H&M,143000,16.14,0.78,down,Sweden
Airbus,142125,144.66,0.23,down,Netherlands
Tesla,140473,252.64,1.78,up,USA
Muyuan Foods,140403,6.23,1.41,up,China
Glencore,140000,6.15,0.0,up,Switzerland
Tyson Foods,139000,57.47,0.26,up,USA
Orange,137094,10.87,0.37,up,France
China Communications Construction,136506,1.15,0.24,down,China
Astra International,134787,0.27,2.01,down,Indonesia
Prosegur,134651,1.93,0.23,down,Spain
Nissan,133580,3.5,0.5,down,Japan
Associated British Foods,133000,31.98,0.2,down,UK
American Airlines,132800,10.63,0.47,down,USA
Elior Group,132783,3.23,2.56,down,France
Johnson & Johnson,131900,149.24,0.43,down,USA
