Company,Market cap($B),Share Price,Pct_change,Trend,Country
Apple,3594.0,234.4,1.67,up,USA
Microsoft,3373.0,453.96,0.09,up,USA
NVIDIA,3159.0,128.44,0.62,down,USA
Alphabet (Google),2314.0,188.19,0.75,up,USA
Amazon,2005.0,192.72,0.91,down,USA
Saudi Aramco,1824.0,7.54,0.53,up,S. Arabia
Meta Platforms (Facebook),1258.0,496.16,0.54,down,USA
TSMC,960.56,185.22,1.14,down,Taiwan
Berkshire Hathaway,937.02,434.42,2.35,up,USA
Eli Lilly,855.79,950.46,0.22,up,USA
Tesla,805.71,252.64,1.78,up,USA
Broadcom,797.93,171.42,0.8,up,USA
Novo Nordisk,632.3,141.39,0.49,down,Denmark
JPMorgan Chase,597.61,210.05,2.49,up,USA
Walmart,559.91,69.61,0.53,up,USA
Visa,549.27,268.45,1.02,up,USA
Exxon Mobil,516.82,115.21,1.71,up,USA
UnitedHealth,474.33,515.37,0.75,up,USA
Tencent,465.82,49.42,1.96,down,China
ASML,428.63,1064.0,1.99,down,Netherlands
Samsung,420.1,63.45,1.15,up,S. Korea
Mastercard,412.74,444.0,0.88,up,USA
Oracle,394.28,143.07,1.17,down,USA
Procter & Gamble,388.43,164.58,1.22,down,USA
LVMH,380.39,761.47,1.01,down,France
Costco,376.27,848.73,0.69,up,USA
Johnson & Johnson,359.17,149.24,0.43,down,USA
Home Depot,355.45,358.46,0.36,down,USA
Bank of America,327.59,41.89,0.72,up,USA
Merck,324.5,128.12,0.28,up,USA
AbbVie,296.71,168.03,0.41,down,USA
AMD,290.66,179.83,0.98,down,USA
Chevron,289.02,158.04,1.57,up,USA
Netflix,282.86,656.45,1.37,up,USA
Toyota,278.69,206.91,0.33,down,Japan
ICBC,275.07,0.56,1.8,down,China
Coca-Cola,273.16,63.41,0.46,down,USA
Nestlé,271.1,103.47,0.49,down,Switzerland
PetroChina,255.82,1.45,0.38,up,China
Reliance Industries,255.33,37.74,1.31,down,India
Kweichow Moutai,255.18,203.14,0.07,up,China
Adobe,250.83,565.71,1.19,up,USA
AstraZeneca,245.53,78.12,1.41,down,UK
Salesforce,245.02,252.86,0.44,down,USA
International Holding Company,244.38,111.41,0.17,down,UAE
Hermès,238.62,2278.0,1.14,down,France
SAP,238.55,203.51,0.78,down,Germany
L'Oréal,233.49,436.66,1.42,down,France
QUALCOMM,232.32,208.18,2.84,up,USA
Roche,231.98,287.04,0.62,down,Switzerland
Shell,228.71,72.96,0.16,down,UK
Novartis,225.11,110.33,1.23,down,Switzerland
Pepsico,225.07,163.86,1.51,down,USA
Agricultural Bank of China,220.62,0.65,0.21,down,China
China Mobile,215.06,9.84,0.26,down,China
T-Mobile US,213.57,181.75,1.23,up,USA
Linde,210.64,438.18,0.57,down,UK
Thermo Fisher Scientific,207.91,544.68,0.62,down,USA
Applied Materials,203.3,245.55,0.88,up,USA
Accenture,199.1,317.87,2.33,up,Ireland
Wells Fargo,196.43,57.73,2.1,up,USA
Pinduoduo,191.63,137.99,3.11,down,China
Cisco,190.96,47.4,0.04,up,USA
Alibaba,186.6,78.01,2.06,down,China
Arm Holdings,186.02,177.53,2.01,down,UK
Intuit,183.99,658.18,2.53,up,USA
Texas Instruments,183.69,201.76,0.05,down,USA
Danaher,182.37,246.23,0.19,down,USA
China Construction Bank,182.0,1.04,0.4,down,China
McDonald,181.27,251.53,0.93,down,USA
Tata Consultancy Services,180.96,50.02,0.22,up,India
Bank of China,179.62,0.67,0.62,up,China
Abbott Laboratories,179.11,102.96,0.68,down,USA
Amgen,177.1,330.15,0.21,down,USA
Walt Disney,176.59,96.87,0.27,down,USA
American Express,175.5,244.0,2.25,up,USA
General Electric,174.65,159.56,0.35,up,USA
Verizon,171.69,40.79,1.54,down,USA
Morgan Stanley,171.06,105.26,1.12,up,USA
Caterpillar,169.09,345.77,3.03,up,USA
IBM,167.99,182.88,0.03,up,USA
Pfizer,164.89,29.1,0.62,up,USA
Philip Morris,163.33,105.07,0.83,down,USA
HSBC,160.77,43.25,1.21,down,UK
TotalEnergies,159.2,69.13,0.29,down,France
Goldman Sachs,158.72,492.23,2.57,up,USA
ServiceNow,157.7,767.85,1.23,up,USA
Prosus,157.5,36.05,1.71,down,Netherlands
Inditex,157.29,25.1,2.18,down,Spain
Royal Bank Of Canada,157.08,110.81,0.36,down,Canada
Siemens,156.19,197.73,0.28,up,Germany
Intuitive Surgical,155.09,437.25,1.56,down,USA
HDFC Bank,152.87,60.28,0.26,down,India
Comcast,152.78,38.94,1.7,up,USA
Uber,151.05,72.29,0.19,down,USA
S&P Global,150.98,482.55,0.88,up,USA
Commonwealth Bank,149.81,89.37,0.19,down,Australia
BHP Group,147.55,58.31,1.62,down,Australia
Intel,146.69,34.46,0.09,down,USA
Nextera Energy,145.8,70.97,6.62,down,USA
Micron Technology,145.11,130.87,2.01,down,USA
Union Pacific Corporation,143.98,235.99,2.51,up,USA
Unilever,142.8,56.96,1.13,down,UK
CNOOC,141.21,2.86,0.89,down,China
Schneider Electric,140.93,251.34,0.58,down,France
Honeywell,140.47,215.72,0.28,up,USA
Lam Research,139.77,1069.0,0.07,down,USA
Booking Holdings (Booking.com),138.69,4088.0,1.53,up,USA
Charles Schwab,137.24,75.07,0.41,down,USA
Raytheon Technologies,135.1,101.62,0.34,up,USA
ConocoPhillips,133.39,114.57,1.26,up,USA
AT&T,133.22,18.58,1.22,down,USA
Lowe's Companies,132.29,232.17,0.82,down,USA
Eaton,130.77,327.03,1.04,down,Ireland
Mitsubishi UFJ Financial,129.52,11.08,0.09,up,Japan
Deutsche Telekom,129.11,25.93,0.04,down,Germany
Dior,128.62,712.96,1.51,down,France
TJX Companies,128.62,113.81,0.43,down,USA
Sanofi,128.38,50.15,2.3,down,France
Progressive,127.14,217.1,1.78,up,USA
Vertex Pharmaceuticals,126.66,490.85,0.43,up,USA
Stryker Corporation,125.16,328.56,3.19,down,USA
Citigroup,124.27,65.14,0.96,up,USA
Elevance Health,123.33,530.66,0.91,down,USA
