Company,Earnings($B),Share Price,Pct_change,Trend,Country
Saudi Aramco,230.48,7.52,0.36,up,S. Arabia
Apple,120.0,234.4,1.67,up,USA
Microsoft,105.26,453.96,0.09,up,USA
Berkshire Hathaway,96.22,434.42,2.35,up,USA
Alphabet (Google),96.14,188.19,0.75,up,USA
JPMorgan Chase,62.93,210.05,2.49,up,USA
ICBC,58.25,0.56,1.8,down,China
Meta Platforms (Facebook),54.82,496.16,0.54,down,USA
China Construction Bank,53.91,1.04,0.4,down,China
Amazon,49.42,192.72,0.91,down,USA
NVIDIA,49.14,128.44,0.62,down,USA
Exxon Mobil,48.34,115.21,1.71,up,USA
Toyota,48.02,206.91,0.33,down,Japan
China Pacific Insurance,43.37,3.89,0.39,up,China
Agricultural Bank of China,42.33,0.65,0.21,down,China
Bank of China,40.16,0.67,0.62,up,China
TSMC,37.32,185.22,1.14,down,Taiwan
PetroChina,36.82,1.45,0.38,up,China
TotalEnergies,36.67,69.13,0.29,down,France
Tencent,35.41,49.42,1.96,down,China
Equinor,32.17,27.09,0.33,down,Norway
UBS,30.6,31.07,0.54,down,Switzerland
HSBC,30.11,43.25,1.21,down,UK
Shell,29.31,72.96,0.16,down,UK
Walmart,28.92,69.61,0.53,up,USA
Chevron,28.45,158.04,1.57,up,USA
Petrobras,27.87,15.2,0.73,up,Brazil
Bank of America,26.51,41.89,0.72,up,USA
CNOOC,26.02,2.86,0.89,down,China
CM Bank,24.37,4.42,1.43,down,China
China Mobile,23.97,9.84,0.26,down,China
LVMH,23.91,761.47,1.01,down,France
Volkswagen,23.71,116.32,1.39,down,Germany
BHP Group,23.55,58.31,1.62,down,Australia
Glencore,22.87,6.15,0.0,up,Switzerland
Fannie Mae,22.6,7.4,0.0,up,USA
Visa,22.33,268.45,1.02,up,USA
Brookfield Corporation,22.23,46.09,0.17,up,Canada
UnitedHealth,21.78,515.37,0.75,up,USA
Dior,21.52,712.96,1.51,down,France
Home Depot,21.41,358.46,0.36,down,USA
Wells Fargo,21.37,57.73,2.1,up,USA
Johnson & Johnson,21.36,149.24,0.43,down,USA
Mercedes-Benz,20.81,69.14,1.61,down,Germany
BP,20.64,35.03,0.45,down,UK
Comcast,20.34,38.94,1.7,up,USA
Procter & Gamble,20.06,164.58,1.22,down,USA
CITIC limited,18.95,0.93,1.09,down,China
AT&T,18.95,18.58,1.22,down,USA
Santander,18.6,4.79,1.44,down,Spain
BMW,18.21,96.74,1.2,down,Germany
Alibaba,17.34,78.01,2.06,down,China
Roche,16.74,287.04,0.62,down,Switzerland
Novo Nordisk,16.56,141.39,0.49,down,Denmark
Verizon,16.56,40.79,1.54,down,USA
Hyundai,16.39,60.74,2.93,up,S. Korea
Ping An Insurance,16.27,5.67,3.15,down,China
Rio Tinto,15.74,67.55,1.42,down,UK
Postal Savings Bank of China,15.67,0.69,0.4,down,China
Sinopec,15.55,0.89,2.2,up,China
ConocoPhillips,15.53,114.57,1.26,up,USA
Investor AB,15.41,28.0,0.32,up,Sweden
Oracle,15.25,143.07,1.17,down,USA
Nestlé,15.1,103.5,0.47,down,Switzerland
Kweichow Moutai,15.08,203.14,0.07,up,China
Deere & Company,15.05,371.67,1.74,up,USA
Cisco,15.0,47.4,0.04,up,USA
T-Mobile US,14.94,181.75,1.23,up,USA
BNP Paribas,14.78,67.89,0.73,down,France
Caterpillar,14.47,345.77,3.03,up,USA
Mastercard,14.34,444.0,0.88,up,USA
Coca-Cola,14.3,63.41,0.46,down,USA
Freddie Mac,14.15,7.99,13.66,up,USA
Mitsubishi UFJ Financial,14.05,11.08,0.09,up,Japan
Bank of Communications,14.02,1.03,0.27,down,China
Banco Bilbao Vizcaya Argentaria,13.98,10.64,0.0,up,Spain
Allianz,13.69,286.17,1.02,down,Germany
Broadcom,13.67,171.42,0.8,up,USA
NTT (Nippon Telegraph & Telephone),13.54,0.99,0.95,down,Japan
Deutsche Telekom,13.54,25.93,0.04,down,Germany
UniCredit,13.31,40.72,0.58,up,Italy
Pinduoduo,13.3,137.99,3.11,down,China
Royal Bank Of Canada,13.28,110.81,0.36,down,Canada
China State Construction Engineering,12.98,0.74,0.56,down,China
Marathon Petroleum,12.97,166.71,0.76,up,USA
Pepsico,12.7,163.86,1.51,down,USA
Samsung,12.66,63.45,1.15,up,S. Korea
CVS Health,12.65,58.67,0.56,down,USA
Reliance Industries,12.62,37.74,1.31,down,India
Enel,12.55,7.31,1.21,down,Italy
Morgan Stanley,12.44,105.26,1.12,up,USA
